# Renewables.ninja Weather (Point API) - 35.502, 12.610 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Rome, t2m in ºC, swgdn in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Rome", "t2m": "\u00baC", "swgdn": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "35.502235422554364", "lon": "12.61005635888931", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,t2m,swgdn
2015-01-01 00:00,2015-01-01 01:00,9.652,0
2015-01-01 01:00,2015-01-01 02:00,9.583,0
2015-01-01 02:00,2015-01-01 03:00,9.235,0
2015-01-01 03:00,2015-01-01 04:00,8.943,0
2015-01-01 04:00,2015-01-01 05:00,9.115,0
2015-01-01 05:00,2015-01-01 06:00,10.004,0
2015-01-01 06:00,2015-01-01 07:00,11.341,2.640
2015-01-01 07:00,2015-01-01 08:00,12.354,34.364
2015-01-01 08:00,2015-01-01 09:00,12.886,88.941
2015-01-01 09:00,2015-01-01 10:00,13.066,146.082
2015-01-01 10:00,2015-01-01 11:00,12.929,161.118
2015-01-01 11:00,2015-01-01 12:00,12.828,160.178
2015-01-01 12:00,2015-01-01 13:00,12.938,196.343
2015-01-01 13:00,2015-01-01 14:00,13.101,211.987
2015-01-01 14:00,2015-01-01 15:00,13.178,162.416
2015-01-01 15:00,2015-01-01 16:00,13.409,47.134
2015-01-01 16:00,2015-01-01 17:00,13.725,0.001
2015-01-01 17:00,2015-01-01 18:00,13.975,0
2015-01-01 18:00,2015-01-01 19:00,14.142,0
2015-01-01 19:00,2015-01-01 20:00,14.098,0
2015-01-01 20:00,2015-01-01 21:00,13.967,0
2015-01-01 21:00,2015-01-01 22:00,13.825,0
2015-01-01 22:00,2015-01-01 23:00,13.677,0
2015-01-01 23:00,2015-01-02 00:00,13.542,0
2015-01-02 00:00,2015-01-02 01:00,13.431,0
2015-01-02 01:00,2015-01-02 02:00,13.300,0
2015-01-02 02:00,2015-01-02 03:00,13.176,0
2015-01-02 03:00,2015-01-02 04:00,13.197,0
2015-01-02 04:00,2015-01-02 05:00,13.332,0
2015-01-02 05:00,2015-01-02 06:00,13.477,0
2015-01-02 06:00,2015-01-02 07:00,13.630,22.975
2015-01-02 07:00,2015-01-02 08:00,13.796,163.321
2015-01-02 08:00,2015-01-02 09:00,13.978,314.885
2015-01-02 09:00,2015-01-02 10:00,13.998,428.097
2015-01-02 10:00,2015-01-02 11:00,13.877,496.848
2015-01-02 11:00,2015-01-02 12:00,13.761,510.556
2015-01-02 12:00,2015-01-02 13:00,13.680,468.167
2015-01-02 13:00,2015-01-02 14:00,13.640,367.565
2015-01-02 14:00,2015-01-02 15:00,13.610,220.390
2015-01-02 15:00,2015-01-02 16:00,13.571,59.748
2015-01-02 16:00,2015-01-02 17:00,13.514,0.002
2015-01-02 17:00,2015-01-02 18:00,13.482,0
2015-01-02 18:00,2015-01-02 19:00,13.477,0
2015-01-02 19:00,2015-01-02 20:00,13.494,0
2015-01-02 20:00,2015-01-02 21:00,13.485,0
2015-01-02 21:00,2015-01-02 22:00,13.546,0
2015-01-02 22:00,2015-01-02 23:00,13.630,0
2015-01-02 23:00,2015-01-03 00:00,13.701,0
2015-01-03 00:00,2015-01-03 01:00,13.799,0
